datetime,event,delta_post_fc,post_pips,post_max_pips,post_min_pips,post_mean_pips,post_sum_pips,previous,forecast,actual
2019-03-01 18:00:00,ISM Manufacturing PMI  (Feb),55.5 vs 56.6,4.299999999999304,37.8999999999996,-17.300000000000093,0.2473684210527328,4.700000000001925,56.6,55.5,54.2
2019-03-05 18:00:00,ISM Non-Manufacturing PMI  (Feb),57.3 vs 56.7,-40.79999999999862,1.40000000000029,-47.50000000000032,-2.231578947368199,-42.39999999999577,56.7,57.3,59.7
2019-03-06 16:15:00,ADP Nonfarm Employment Change  (Feb),189K vs 300K,2.60000000000149,9.700000000001374,-21.700000000000053,0.1647058823529752,2.80000000000058,300K,189K,183K
2019-03-07 16:30:00,Initial Jobless Claims,225K vs 226K,-73.00000000000084,14.300000000000423,-76.1999999999996,-4.300000000000219,-73.10000000000372,226K,225K,223K
2019-03-08 16:30:00,Nonfarm Payrolls  (Feb),181K vs 311K,33.00000000000081,48.20000000000047,-7.699999999999374,1.917647058823684,32.60000000000262,311K,181K,20K
2019-03-08 16:30:00,Unemployment Rate  (Feb),3.9% vs 4.0%,33.00000000000081,48.20000000000047,-7.699999999999374,1.917647058823684,32.60000000000262,4.0%,3.9%,3.8%
2019-03-11 15:30:00,Core Retail Sales (MoM)  (Jan),0.4% vs -2.1%,13.900000000000023,24.800000000000377,-10.600000000000607,0.8562500000004747,13.700000000007597,-2.1%,0.4%,0.9%
2019-03-11 15:30:00,Retail Sales (MoM)  (Jan),0.0% vs -1.6%,13.900000000000023,24.800000000000377,-10.600000000000607,0.8562500000004747,13.700000000007597,-1.6%,0.0%,0.2%
2019-03-12 15:30:00,Core CPI (MoM)  (Feb),0.2% vs 0.2%,30.89999999999815,35.799999999999166,-1.6000000000016,1.9125000000000392,30.600000000000627,0.2%,0.2%,0.1%
2019-03-12 15:30:00,CPI (MoM)  (Feb),0.2% vs 0.0%,30.89999999999815,35.799999999999166,-1.6000000000016,1.9125000000000392,30.600000000000627,0.0%,0.2%,0.2%
2019-03-12 15:30:00,CPI (YoY)  (Feb),1.6% vs 1.6%,30.89999999999815,35.799999999999166,-1.6000000000016,1.9125000000000392,30.600000000000627,1.6%,1.6%,1.5%
2019-03-13 15:30:00,PPI (MoM)  (Feb),0.2% vs -0.1%,19.299999999999876,24.600000000001288,-10.600000000000607,1.174999999999787,18.7999999999966,-0.1%,0.2%,0.1%
2019-03-14 15:30:00,Initial Jobless Claims,225K vs 223K,-30.600000000000627,7.099999999999884,-36.40000000000087,-1.962500000000228,-31.400000000003647,223K,225K,229K
2019-03-15 17:00:00,JOLTS Job Openings  (Jan),7.310M vs 7.479M,22.200000000001108,39.9000000000016,-4.39999999999996,1.2388888888893568,22.300000000008424,7.479M,7.310M,7.581M
2019-03-21 15:30:00,Initial Jobless Claims,226K vs 230K,-32.29999999999844,13.199999999999878,-45.49999999999832,-2.024999999999805,-32.39999999999688,230K,226K,221K
2019-03-28 15:30:00,GDP (QoQ)  (Q4),2.4% vs 2.6%,-34.09999999999913,9.900000000000464,-37.79999999999895,-2.1375000000001254,-34.20000000000201,2.6%,2.4%,2.2%
2019-03-28 15:30:00,Initial Jobless Claims,220K vs 216K,-34.09999999999913,9.900000000000464,-37.79999999999895,-2.1375000000001254,-34.20000000000201,216K,220K,211K
2019-03-29 15:30:00,Core PCE Price Index (YoY)  (Jan),1.9% vs 2.0%,8.599999999998609,20.199999999999108,-16.599999999999948,0.5437500000002315,8.700000000003705,2.0%,1.9%,1.8%
2019-03-29 15:30:00,Core PCE Price Index (MoM)  (Jan),0.2% vs 0.2%,8.599999999998609,20.199999999999108,-16.599999999999948,0.5437500000002315,8.700000000003705,0.2%,0.2%,0.1%
2019-04-01 15:30:00,Core Retail Sales (MoM)  (Feb),0.4% vs 1.4%,7.399999999999629,21.700000000000053,-8.00000000000134,0.4062499999997471,6.4999999999959535,1.4%,0.4%,-0.4%
2019-04-01 15:30:00,Retail Sales (MoM)  (Feb),0.3% vs 0.7%,7.399999999999629,21.700000000000053,-8.00000000000134,0.4062499999997471,6.4999999999959535,0.7%,0.3%,-0.2%
2019-04-01 17:00:00,ISM Manufacturing PMI  (Mar),54.5 vs 54.2,-18.700000000000383,21.700000000000053,-19.60000000000184,-1.0777777777779305,-19.40000000000275,54.2,54.5,55.3
2019-04-03 15:15:00,ADP Nonfarm Employment Change  (Mar),184K vs 197K,30.39999999999932,52.39999999999911,-0.700000000000145,1.918749999999664,30.69999999999462,197K,184K,129K
2019-04-03 17:00:00,ISM Non-Manufacturing PMI  (Mar),58.1 vs 59.7,39.39999999999833,52.39999999999911,-0.700000000000145,2.19999999999961,39.599999999992974,59.7,58.1,56.1
2019-04-04 15:30:00,Initial Jobless Claims,216K vs 212K,-23.300000000001653,10.599999999998388,-31.000000000001027,-1.4875000000000305,-23.800000000000487,212K,216K,202K
2019-04-05 15:30:00,Nonfarm Payrolls  (Mar),175K vs 33K,4.80000000000036,26.50000000000041,-3.99999999999956,0.243750000000209,3.900000000003345,33K,175K,196K
2019-04-05 15:30:00,Unemployment Rate  (Mar),3.8% vs 3.8%,4.80000000000036,26.50000000000041,-3.99999999999956,0.243750000000209,3.900000000003345,3.8%,3.8%,3.8%
2019-04-09 17:00:00,JOLTS Job Openings  (Feb),7.550M vs 7.625M,16.499999999999293,23.599999999999177,-5.699999999999594,0.8777777777777305,15.799999999999148,7.625M,7.550M,7.087M
2019-04-10 15:30:00,Core CPI (MoM)  (Mar),0.2% vs 0.1%,-23.200000000001,23.199999999998777,-35.00000000000058,-1.431250000000217,-22.900000000003477,0.1%,0.2%,0.1%
2019-04-10 15:30:00,CPI (MoM)  (Mar),0.3% vs 0.2%,-23.200000000001,23.199999999998777,-35.00000000000058,-1.431250000000217,-22.900000000003477,0.2%,0.3%,0.4%
2019-04-10 15:30:00,CPI (YoY)  (Mar),1.8% vs 1.5%,-23.200000000001,23.199999999998777,-35.00000000000058,-1.431250000000217,-22.900000000003477,1.5%,1.8%,1.9%
2019-04-11 15:30:00,Initial Jobless Claims,211K vs 204K,-3.699999999999815,12.499999999999734,-19.400000000000528,-0.2499999999998337,-3.999999999997339,204K,211K,196K
2019-04-11 15:30:00,PPI (MoM)  (Mar),0.3% vs 0.1%,-3.699999999999815,12.499999999999734,-19.400000000000528,-0.2499999999998337,-3.999999999997339,0.1%,0.3%,0.6%
2019-04-18 15:30:00,Core Retail Sales (MoM)  (Mar),0.7% vs -0.2%,-48.39999999999955,6.099999999999994,-61.89999999999918,-3.049999999999997,-48.79999999999996,-0.2%,0.7%,1.2%
2019-04-18 15:30:00,Initial Jobless Claims,205K vs 197K,-48.39999999999955,6.099999999999994,-61.89999999999918,-3.049999999999997,-48.79999999999996,197K,205K,192K
2019-04-18 15:30:00,Retail Sales (MoM)  (Mar),0.9% vs -0.2%,-48.39999999999955,6.099999999999994,-61.89999999999918,-3.049999999999997,-48.79999999999996,-0.2%,0.9%,1.6%
2019-04-25 15:30:00,Initial Jobless Claims,199K vs 193K,-13.399999999998968,7.200000000000539,-37.30000000000011,-0.850000000000295,-13.60000000000472,193K,199K,230K
2019-04-26 15:30:00,GDP (QoQ)  (Q1),2.0% vs 2.2%,19.400000000000528,24.500000000000632,-23.49999999999852,1.20000000000009,19.20000000000144,2.2%,2.0%,3.2%
2019-04-29 15:30:00,Core PCE Price Index (MoM)  (Feb),0.2% vs 0.1%,1.900000000001345,18.60000000000195,-3.4999999999985043,0.1125000000001819,1.8000000000029104,0.1%,0.2%,0.1%
2019-04-29 15:30:00,Core PCE Price Index (YoY)  (Mar),1.7% vs 1.7%,1.900000000001345,18.60000000000195,-3.4999999999985043,0.1125000000001819,1.8000000000029104,1.7%,1.7%,1.6%
2019-04-29 15:30:00,Core PCE Price Index (MoM)  (Mar),0.1% vs 0.1%,1.900000000001345,18.60000000000195,-3.4999999999985043,0.1125000000001819,1.8000000000029104,0.1%,0.1%,0.0%
2019-04-29 15:30:00,Core PCE Price Index (YoY)  (Feb),1.7% vs 1.8%,1.900000000001345,18.60000000000195,-3.4999999999985043,0.1125000000001819,1.8000000000029104,1.8%,1.7%,1.6%
