datetime,event,delta_post_fc,post_pips,post_max_pips,post_min_pips,post_mean_pips,post_sum_pips,previous,forecast,actual
2019-01-03 16:15:00,ADP Nonfarm Employment Change  (Dec),179K vs 157K,22.099999999998232,41.59999999999941,-33.10000000000146,1.3235294117646257,22.499999999998632,157K,179K,271K
2019-01-03 16:30:00,Initial Jobless Claims,220K vs 221K,22.099999999998232,41.59999999999941,-33.10000000000146,1.3235294117646257,22.499999999998632,221K,220K,231K
2019-01-03 18:00:00,ISM Manufacturing PMI  (Dec),57.7 vs 59.3,55.99999999999827,68.69999999999932,-33.10000000000146,2.952631578947312,56.09999999999893,59.3,57.7,54.1
2019-01-04 16:30:00,Nonfarm Payrolls  (Dec),178K vs 176K,-38.89999999999949,26.50000000000041,-46.39999999999978,-2.3470588235292444,-39.89999999999716,176K,178K,312K
2019-01-04 16:30:00,Unemployment Rate  (Dec),3.7% vs 3.7%,-38.89999999999949,26.50000000000041,-46.39999999999978,-2.3470588235292444,-39.89999999999716,3.7%,3.7%,3.9%
2019-01-07 18:00:00,ISM Non-Manufacturing PMI  (Dec),59.6 vs 60.7,71.79999999999964,77.19999999999949,-0.1000000000006551,3.710526315789357,70.49999999999778,60.7,59.6,57.6
2019-01-08 18:00:00,JOLTS Job Openings  (Nov),7.063M vs 7.131M,-30.90000000000037,10.3999999999993,-51.79999999999963,-1.615789473684278,-30.70000000000128,7.131M,7.063M,6.888M
2019-01-10 16:30:00,Initial Jobless Claims,225K vs 233K,-16.300000000000203,27.800000000000047,-25.69999999999961,-0.9705882352939454,-16.499999999997073,233K,225K,216K
2019-01-11 16:30:00,Core CPI (MoM)  (Dec),0.2% vs 0.2%,-29.29999999999877,40.89999999999927,-41.400000000000325,-1.7529411764704474,-29.79999999999761,0.2%,0.2%,0.2%
2019-01-11 16:30:00,CPI (YoY)  (Dec),1.9% vs 2.2%,-29.29999999999877,40.89999999999927,-41.400000000000325,-1.7529411764704474,-29.79999999999761,2.2%,1.9%,1.9%
2019-01-11 16:30:00,CPI (MoM)  (Dec),-0.1% vs 0.0%,-29.29999999999877,40.89999999999927,-41.400000000000325,-1.7529411764704474,-29.79999999999761,0.0%,-0.1%,-0.1%
2019-01-15 16:30:00,PPI (MoM)  (Dec),-0.1% vs 0.1%,-13.900000000000023,21.700000000000053,-55.70000000000075,-0.8882352941174578,-15.099999999996784,0.1%,-0.1%,-0.2%
2019-01-17 16:30:00,Initial Jobless Claims,219K vs 216K,-3.99999999999956,14.799999999999258,-19.800000000000928,-0.2882352941174455,-4.899999999996574,216K,219K,213K
2019-01-24 16:30:00,Initial Jobless Claims,219K vs 212K,-2.6999999999999247,10.900000000000354,-73.90000000000008,-0.1705882352941902,-2.900000000001235,212K,219K,199K
2019-01-30 16:15:00,ADP Nonfarm Employment Change  (Jan),180K vs 263K,-17.100000000001003,19.099999999998563,-24.600000000001288,-1.0529411764706942,-17.900000000001803,263K,180K,213K
2019-01-31 16:30:00,Initial Jobless Claims,215K vs 200K,-1.40000000000029,35.49999999999942,-7.100000000002105,-0.082352941176357,-1.3999999999980697,200K,215K,253K
2019-02-01 16:30:00,Nonfarm Payrolls  (Jan),165K vs 222K,29.400000000001647,38.90000000000171,-12.499999999999734,1.7352941176473249,29.500000000004523,222K,165K,304K
2019-02-01 16:30:00,Unemployment Rate  (Jan),3.9% vs 3.9%,29.400000000001647,38.90000000000171,-12.499999999999734,1.7352941176473249,29.500000000004523,3.9%,3.9%,4.0%
2019-02-01 18:00:00,ISM Manufacturing PMI  (Jan),54.2 vs 54.3,26.200000000000667,41.60000000000164,-12.499999999999734,1.3894736842107474,26.4000000000042,54.3,54.2,56.6
