datetime,event,delta_act_fc,delta_act_prev,post_pips,post_max_pips,post_min_pips,post_mean_pips
2019-01-03 15:15:00,ADP Nonfarm Employment Change  (Dec),271K vs 179K,271K vs 157K,44.69999999999974,63.29999999999947,-10.300000000000864,0.07352380952386825
2019-01-03 15:30:00,Initial Jobless Claims,231K vs 220K,231K vs 221K,42.200000000001125,60.80000000000085,-0.09999999999843467,0.06941176470593216
2019-01-03 17:00:00,ISM Manufacturing PMI  (Dec),54.1 vs 57.7,54.1 vs 59.3,27.600000000000957,46.200000000000685,0.0,0.05261904761909627
2019-01-04 15:30:00,Nonfarm Payrolls  (Dec),312K vs 178K,312K vs 176K,-9.700000000001374,13.699999999998713,-58.400000000000674,-0.033137254901842626
2019-01-04 15:30:00,Unemployment Rate  (Dec),3.9% vs 3.7%,3.9% vs 3.7%,-9.700000000001374,13.699999999998713,-58.400000000000674,-0.033137254901842626
2019-01-07 17:00:00,ISM Non-Manufacturing PMI  (Dec),57.6 vs 59.6,57.6 vs 60.7,5.699999999999594,14.300000000000423,-14.700000000000824,0.0011904761904839895
2019-01-08 17:00:00,JOLTS Job Openings  (Nov),6.888M vs 7.063M,6.888M vs 7.131M,1.9999999999997797,20.199999999999108,-13.000000000000789,0.0019047619047162286
2019-01-10 15:30:00,Initial Jobless Claims,216K vs 225K,216K vs 233K,-38.19999999999935,2.000000000002,-53.19999999999992,-0.07745098039217664
2019-01-11 15:30:00,Core CPI (MoM)  (Dec),0.2% vs 0.2%,0.2% vs 0.2%,-61.1000000000006,8.899999999998354,-68.70000000000154,-0.11960784313728093
2019-01-11 15:30:00,CPI (YoY)  (Dec),1.9% vs 1.9%,1.9% vs 2.2%,-61.1000000000006,8.899999999998354,-68.70000000000154,-0.11960784313728093
2019-01-11 15:30:00,CPI (MoM)  (Dec),-0.1% vs -0.1%,-0.1% vs 0.0%,-61.1000000000006,8.899999999998354,-68.70000000000154,-0.11960784313728093
2019-01-15 15:30:00,PPI (MoM)  (Dec),-0.2% vs -0.1%,-0.2% vs 0.1%,-8.500000000000174,34.19999999999979,-38.7000000000004,-0.01784313725493178
2019-01-17 15:30:00,Initial Jobless Claims,213K vs 219K,213K vs 216K,-10.799999999999699,1.8999999999991246,-28.799999999999937,-0.024705882352972414
2019-01-24 15:30:00,Initial Jobless Claims,199K vs 219K,199K vs 212K,-34.399999999998876,44.200000000000905,-47.20000000000057,-0.08098039215687514
2019-01-30 15:15:00,ADP Nonfarm Employment Change  (Jan),213K vs 180K,213K vs 263K,50.90000000000039,73.90000000000008,-21.500000000000963,0.08095238095236994
2019-01-31 15:30:00,Initial Jobless Claims,253K vs 215K,253K vs 200K,-39.29999999999989,9.399999999999409,-50.400000000001555,-0.08921568627446733
2019-02-01 15:30:00,Nonfarm Payrolls  (Jan),304K vs 165K,304K vs 222K,-18.899999999999473,14.800000000001479,-26.100000000000012,-0.03450980392159443
2019-02-01 15:30:00,Unemployment Rate  (Jan),4.0% vs 3.9%,4.0% vs 3.9%,-18.899999999999473,14.800000000001479,-26.100000000000012,-0.03450980392159443
2019-02-01 17:00:00,ISM Manufacturing PMI  (Jan),56.6 vs 54.2,56.6 vs 54.3,-21.299999999999653,12.400000000001299,-28.500000000000192,-0.04952380952383262
2019-02-05 17:00:00,ISM Non-Manufacturing PMI  (Jan),56.7 vs 57.2,56.7 vs 58.0,-9.199999999998099,3.4000000000000696,-13.499999999999623,-0.026904761904805993
2019-02-07 15:30:00,Initial Jobless Claims,234K vs 221K,234K vs 253K,0.1999999999990898,21.199999999998997,-9.099999999999664,-0.008823529411774618
2019-02-12 17:00:00,JOLTS Job Openings  (Dec),7.335M vs 6.900M,7.335M vs 7.166M,29.89999999999826,44.39999999999999,-8.00000000000134,0.059285714285663885
2019-02-13 15:30:00,Core CPI (MoM)  (Jan),0.2% vs 0.2%,0.2% vs 0.2%,-45.999999999999375,0.700000000000145,-46.10000000000003,-0.10098039215689299
2019-02-13 15:30:00,CPI (MoM)  (Jan),0.0% vs 0.1%,0.0% vs -0.1%,-45.999999999999375,0.700000000000145,-46.10000000000003,-0.10098039215689299
2019-02-13 15:30:00,CPI (YoY)  (Jan),1.6% vs 1.5%,1.6% vs 1.9%,-45.999999999999375,0.700000000000145,-46.10000000000003,-0.10098039215689299
2019-02-14 15:30:00,PPI (MoM)  (Jan),-0.1% vs 0.1%,-0.1% vs -0.1%,24.999999999999467,40.10000000000069,-5.1000000000001044,0.048823529411792854
2019-02-14 15:30:00,Retail Sales (MoM)  (Dec),-1.2% vs 0.1%,-1.2% vs 0.1%,24.999999999999467,40.10000000000069,-5.1000000000001044,0.048823529411792854
2019-02-14 15:30:00,Core Retail Sales (MoM)  (Dec),-1.8% vs 0.0%,-1.8% vs 0.2%,24.999999999999467,40.10000000000069,-5.1000000000001044,0.048823529411792854
