datetime,event,delta_prev_fc,pre_pips,pre_max_pips,pre_min_pips,pre_mean_pips
2019-01-03 15:15:00,ADP Nonfarm Employment Change  (Dec),179K vs 157K,5.399999999999849,41.59999999999941,-33.10000000000146,-0.0017486338798001566
2019-01-03 15:30:00,Initial Jobless Claims,220K vs 221K,7.999999999999119,41.59999999999941,-33.10000000000146,0.001720430107514273
2019-01-03 17:00:00,ISM Manufacturing PMI  (Dec),57.7 vs 59.3,22.099999999998232,41.59999999999941,-33.10000000000146,0.014607843137248286
2019-01-04 15:30:00,Nonfarm Payrolls  (Dec),178K vs 176K,11.600000000000499,26.500000000000412,-9.200000000000319,0.005806451612910227
2019-01-04 15:30:00,Unemployment Rate  (Dec),3.7% vs 3.7%,11.600000000000499,26.500000000000412,-9.200000000000319,0.005806451612910227
2019-01-07 17:00:00,ISM Non-Manufacturing PMI  (Dec),59.6 vs 60.7,71.99999999999874,77.19999999999949,-0.10000000000065512,0.05568627450979213
2019-01-08 17:00:00,JOLTS Job Openings  (Nov),7.063M vs 7.131M,-35.39999999999877,10.399999999999299,-51.79999999999963,-0.04078431372548962
2019-01-10 15:30:00,Initial Jobless Claims,225K vs 233K,-3.900000000001125,27.800000000000047,-24.300000000001543,-0.014086021505368347
2019-01-11 15:30:00,Core CPI (MoM)  (Dec),0.2% vs 0.2%,27.300000000001212,40.89999999999927,-3.2999999999994145,0.0265591397849722
2019-01-11 15:30:00,CPI (YoY)  (Dec),1.9% vs 2.2%,27.300000000001212,40.89999999999927,-3.2999999999994145,0.0265591397849722
2019-01-11 15:30:00,CPI (MoM)  (Dec),-0.1% vs 0.0%,27.300000000001212,40.89999999999927,-3.2999999999994145,0.0265591397849722
2019-01-15 15:30:00,PPI (MoM)  (Dec),-0.1% vs 0.1%,-47.09999999999992,21.700000000000053,-55.70000000000075,-0.05645161290322078
2019-01-17 15:30:00,Initial Jobless Claims,219K vs 216K,7.599999999998719,14.799999999999258,-19.800000000000928,0.003229278794421349
2019-01-24 15:30:00,Initial Jobless Claims,219K vs 212K,-43.999999999999595,10.900000000000354,-50.39999999999934,-0.05118279569890668
2019-01-30 15:15:00,ADP Nonfarm Employment Change  (Jan),180K vs 263K,-3.20000000000098,19.099999999998563,-8.900000000000574,-0.011803278688570368
2019-01-31 15:30:00,Initial Jobless Claims,215K vs 200K,7.399999999999629,35.49999999999942,-7.100000000002105,-0.006989247311814056
2019-02-01 15:30:00,Nonfarm Payrolls  (Jan),165K vs 222K,26.399999999999757,27.900000000000702,-12.499999999999734,0.01883745963399507
2019-02-01 15:30:00,Unemployment Rate  (Jan),3.9% vs 3.9%,26.399999999999757,27.900000000000702,-12.499999999999734,0.01883745963399507
2019-02-01 17:00:00,ISM Manufacturing PMI  (Jan),54.2 vs 54.3,29.400000000001647,38.90000000000171,-12.499999999999734,0.020314033366023512
2019-02-05 17:00:00,ISM Non-Manufacturing PMI  (Jan),57.2 vs 58.0,-21.099999999998342,5.1000000000001044,-23.899999999998922,-0.032254901960825824
2019-02-07 15:30:00,Initial Jobless Claims,221K vs 253K,-22.599999999999287,6.800000000000139,-37.10000000000102,-0.032795698924669076
2019-02-12 17:00:00,JOLTS Job Openings  (Dec),6.900M vs 7.166M,19.899999999999363,28.399999999999537,-17.500000000001403,0.014215686274483203
2019-02-13 15:30:00,Core CPI (MoM)  (Jan),0.2% vs 0.2%,-19.099999999998563,16.300000000000203,-21.799999999998487,-0.024731182795672324
2019-02-13 15:30:00,CPI (MoM)  (Jan),0.1% vs -0.1%,-19.099999999998563,16.300000000000203,-21.799999999998487,-0.024731182795672324
2019-02-13 15:30:00,CPI (YoY)  (Jan),1.5% vs 1.9%,-19.099999999998563,16.300000000000203,-21.799999999998487,-0.024731182795672324
2019-02-14 15:30:00,PPI (MoM)  (Jan),0.1% vs -0.1%,9.500000000000064,34.800000000001496,-11.099999999999444,0.0052688172043069414
2019-02-14 15:30:00,Retail Sales (MoM)  (Dec),0.1% vs 0.1%,9.500000000000064,34.800000000001496,-11.099999999999444,0.0052688172043069414
2019-02-14 15:30:00,Core Retail Sales (MoM)  (Dec),0.0% vs 0.2%,9.500000000000064,34.800000000001496,-11.099999999999444,0.0052688172043069414
2019-02-14 15:30:00,Initial Jobless Claims,225K vs 235K,9.500000000000064,34.800000000001496,-11.099999999999444,0.0052688172043069414
2019-02-21 15:30:00,Initial Jobless Claims,220K vs 239K,14.599999999997948,27.29999999999899,-15.700000000000713,0.0005382131324230777
2019-02-28 15:30:00,GDP (QoQ)  (Q4),2.6% vs 3.4%,37.199999999999456,50.599999999998424,-1.9999999999997797,0.02752688172043376
2019-02-28 15:30:00,Initial Jobless Claims,221K vs 217K,37.199999999999456,50.599999999998424,-1.9999999999997797,0.02752688172043376
2019-03-01 15:30:00,Core PCE Price Index (YoY)  (Dec),1.9% vs 1.9%,10.300000000000864,17.100000000001003,-17.300000000000093,0.008817204301073342
2019-03-01 15:30:00,Core PCE Price Index (MoM)  (Dec),0.2% vs 0.2%,10.300000000000864,17.100000000001003,-17.300000000000093,0.008817204301073342
2019-03-01 17:00:00,ISM Manufacturing PMI  (Feb),55.5 vs 56.6,25.699999999999612,29.50000000000008,-17.300000000000093,0.02049019607842193
2019-03-05 17:00:00,ISM Non-Manufacturing PMI  (Feb),57.3 vs 56.7,-13.499999999999623,1.40000000000029,-23.400000000000087,-0.027745098039247244
2019-03-06 15:15:00,ADP Nonfarm Employment Change  (Feb),189K vs 300K,-3.1999999999987594,2.900000000001235,-17.499999999999183,-0.019234972677585744
2019-03-07 15:30:00,Initial Jobless Claims,225K vs 226K,-38.000000000000256,14.300000000000423,-42.9999999999997,-0.0440860215054073
2019-03-08 15:30:00,Nonfarm Payrolls  (Feb),181K vs 311K,27.900000000000702,34.899999999999935,-7.699999999999374,0.019569892473131883
2019-03-08 15:30:00,Unemployment Rate  (Feb),3.9% vs 4.0%,27.900000000000702,34.899999999999935,-7.699999999999374,0.019569892473131883
2019-03-11 14:30:00,Retail Sales (MoM)  (Jan),0.0% vs -1.6%,8.599999999998609,24.800000000000377,-10.600000000000609,0.001954022988482817
2019-03-11 14:30:00,Core Retail Sales (MoM)  (Jan),0.4% vs -2.1%,8.599999999998609,24.800000000000377,-10.600000000000609,0.001954022988482817
2019-03-12 14:30:00,Core CPI (MoM)  (Feb),0.2% vs 0.2%,16.899999999999693,35.49999999999942,-1.6000000000016001,0.013678160919553272
2019-03-12 14:30:00,CPI (MoM)  (Feb),0.2% vs 0.0%,16.899999999999693,35.49999999999942,-1.6000000000016001,0.013678160919553272
2019-03-12 14:30:00,CPI (YoY)  (Feb),1.6% vs 1.6%,16.899999999999693,35.49999999999942,-1.6000000000016001,0.013678160919553272
2019-03-13 14:30:00,PPI (MoM)  (Feb),0.2% vs -0.1%,11.099999999999444,16.899999999999693,-10.600000000000609,-0.0017241379310330167
2019-03-14 14:30:00,Initial Jobless Claims,225K vs 223K,-22.400000000000198,7.099999999999884,-34.600000000000186,-0.026551724137903354
2019-03-15 16:00:00,JOLTS Job Openings  (Jan),7.310M vs 7.479M,25.200000000000777,30.600000000000627,-4.3999999999999595,0.022187500000045896
2019-03-21 14:30:00,Initial Jobless Claims,226K vs 230K,-27.500000000000302,13.199999999999878,-40.299999999999784,-0.041034482758606224
