datetime,event,actual,forecast,previous
2019-05-01 15:15:00,ADP Nonfarm Employment Change  (Apr),275K,181K,151K
2019-05-01 17:00:00,ISM Manufacturing PMI  (Apr),52.8,55.0,55.3
2019-05-02 15:30:00,Initial Jobless Claims,230K,220K,230K
2019-05-03 15:30:00,Nonfarm Payrolls  (Apr),263K,181K,189K
2019-05-03 15:30:00,Unemployment Rate  (Apr),3.6%,3.8%,3.8%
2019-05-03 17:00:00,ISM Non-Manufacturing PMI  (Apr),55.5,57.2,56.1
2019-05-07 17:00:00,JOLTS Job Openings  (Mar),7.488M,7.350M,7.142M
2019-05-09 15:30:00,Initial Jobless Claims,228K,215K,230K
2019-05-09 15:30:00,PPI (MoM)  (Apr),0.2%,0.2%,0.6%
2019-05-10 15:30:00,Core CPI (MoM)  (Apr),0.1%,0.2%,0.1%
2019-05-10 15:30:00,CPI (MoM)  (Apr),0.3%,0.4%,0.4%
2019-05-10 15:30:00,CPI (YoY)  (Apr),2.0%,2.1%,1.9%
2019-05-15 15:30:00,Core Retail Sales (MoM)  (Apr),0.1%,0.7%,1.3%
2019-05-15 15:30:00,Retail Sales (MoM)  (Apr),-0.2%,0.2%,1.7%
2019-05-16 15:30:00,Initial Jobless Claims,212K,220K,228K
2019-05-23 15:30:00,Initial Jobless Claims,211K,215K,212K
2019-05-30 15:30:00,GDP (QoQ)  (Q1),3.1%,3.1%,2.2%
2019-05-30 15:30:00,Initial Jobless Claims,215K,216K,212K
2019-05-31 15:30:00,Core PCE Price Index (YoY)  (Apr),1.6%,1.6%,1.5%
2019-05-31 15:30:00,Core PCE Price Index (MoM)  (Apr),0.2%,0.2%,0.1%
2019-06-03 17:00:00,ISM Manufacturing PMI  (May),52.1,53.0,52.8
2019-06-05 15:15:00,ADP Nonfarm Employment Change  (May),27K,180K,271K
2019-06-05 17:00:00,ISM Non-Manufacturing PMI  (May),56.9,55.5,55.5
2019-06-06 15:30:00,Initial Jobless Claims,218K,215K,218K
2019-06-07 15:30:00,Nonfarm Payrolls  (May),75K,185K,224K
2019-06-07 15:30:00,Unemployment Rate  (May),3.6%,3.6%,3.6%
2019-06-10 17:00:00,JOLTS Job Openings  (Apr),7.449M,7.479M,7.474M
2019-06-11 15:30:00,PPI (MoM)  (May),0.1%,0.1%,0.2%
2019-06-12 15:30:00,Core CPI (MoM)  (May),0.1%,0.2%,0.1%
2019-06-12 15:30:00,CPI (YoY)  (May),1.8%,1.9%,2.0%
2019-06-12 15:30:00,CPI (MoM)  (May),0.1%,0.1%,0.3%
2019-06-13 15:30:00,Initial Jobless Claims,222K,216K,219K
2019-06-14 15:30:00,Core Retail Sales (MoM)  (May),0.5%,0.5%,0.5%
2019-06-14 15:30:00,Retail Sales (MoM)  (May),0.5%,0.7%,0.3%
2019-06-20 15:30:00,Initial Jobless Claims,216K,220K,222K
2019-06-27 15:30:00,GDP (QoQ)  (Q1),3.1%,3.1%,3.1%
2019-06-27 15:30:00,Initial Jobless Claims,227K,220K,217K
2019-06-28 15:30:00,Core PCE Price Index (YoY)  (May),1.6%,1.6%,1.6%
2019-06-28 15:30:00,Core PCE Price Index (MoM)  (May),0.2%,0.2%,0.2%
2019-07-01 17:00:00,ISM Manufacturing PMI  (Jun),51.7,51.0,52.1
2019-07-03 15:15:00,ADP Nonfarm Employment Change  (Jun),102K,140K,41K
2019-07-03 15:30:00,Initial Jobless Claims,221K,220K,229K
2019-07-03 17:00:00,ISM Non-Manufacturing PMI  (Jun),55.1,56.1,56.9
2019-07-05 15:30:00,Nonfarm Payrolls  (Jun),224K,160K,72K
2019-07-05 15:30:00,Unemployment Rate  (Jun),3.7%,3.6%,3.6%
2019-07-09 17:00:00,JOLTS Job Openings  (May),7.323M,7.470M,7.372M
2019-07-11 15:30:00,Core CPI (MoM)  (Jun),0.3%,0.2%,0.1%
2019-07-11 15:30:00,CPI (YoY)  (Jun),1.6%,1.6%,1.8%
2019-07-11 15:30:00,CPI (MoM)  (Jun),0.1%,0.0%,0.1%
2019-07-11 15:30:00,Initial Jobless Claims,209K,220K,222K
2019-07-12 15:30:00,PPI (MoM)  (Jun),0.1%,0.1%,0.1%
2019-07-16 15:30:00,Core Retail Sales (MoM)  (Jun),0.4%,0.1%,0.4%
2019-07-16 15:30:00,Retail Sales (MoM)  (Jun),0.4%,0.1%,0.4%
2019-07-18 15:30:00,Initial Jobless Claims,216K,216K,208K
2019-07-25 15:30:00,Initial Jobless Claims,206K,220K,216K
2019-07-26 15:30:00,GDP (QoQ)  (Q2),2.1%,1.8%,3.1%
2019-07-30 15:30:00,Core PCE Price Index (YoY)  (Jun),1.6%,1.7%,1.5%
2019-07-30 15:30:00,Core PCE Price Index (MoM)  (Jun),0.2%,0.2%,0.2%
2019-07-31 15:15:00,ADP Nonfarm Employment Change  (Jul),156K,150K,112K
2019-08-01 15:30:00,Initial Jobless Claims,215K,214K,207K
2019-08-01 17:00:00,ISM Manufacturing PMI  (Jul),51.2,52.0,51.7
2019-08-02 15:30:00,Nonfarm Payrolls  (Jul),164K,164K,193K
2019-08-02 15:30:00,Unemployment Rate  (Jul),3.7%,3.7%,3.7%
2019-08-05 17:00:00,ISM Non-Manufacturing PMI  (Jul),53.7,55.5,55.1
2019-08-06 17:00:00,JOLTS Job Openings  (Jun),7.348M,7.450M,7.384M
2019-08-08 15:30:00,Initial Jobless Claims,209K,215K,217K
