datetime,event,delta_act_fc,delta_act_prev,post_pips,post_max_pips,post_min_pips,post_mean_pips
2019-01-03 14:15:00,ADP Nonfarm Employment Change  (Dec),271K vs 179K,271K vs 157K,49.5000000000001,67.39999999999968,-6.200000000000649,0.0732876712329272
2019-01-03 14:30:00,Initial Jobless Claims,231K vs 220K,231K vs 221K,39.5000000000012,57.40000000000079,-1.4999999999987246,0.057117750439405895
2019-01-03 16:00:00,ISM Manufacturing PMI  (Dec),54.1 vs 57.7,54.1 vs 59.3,9.300000000000974,27.200000000000557,-0.9999999999998899,0.007933194154526584
2019-01-04 14:30:00,Nonfarm Payrolls  (Dec),312K vs 178K,312K vs 176K,18.000000000000238,41.400000000000325,-30.69999999999906,0.02121807465631016
2019-01-04 14:30:00,Unemployment Rate  (Dec),3.9% vs 3.7%,3.9% vs 3.7%,18.000000000000238,41.400000000000325,-30.69999999999906,0.02121807465631016
2019-01-07 16:00:00,ISM Non-Manufacturing PMI  (Dec),57.6 vs 59.6,57.6 vs 60.7,8.999999999999009,16.300000000000203,-12.700000000001044,0.007098121085595135
2019-01-08 16:00:00,JOLTS Job Openings  (Nov),6.888M vs 7.063M,6.888M vs 7.131M,0.0,18.299999999999983,-14.899999999999913,-0.002301255230154535
2019-01-10 14:30:00,Initial Jobless Claims,216K vs 225K,216K vs 233K,-37.80000000000116,4.500000000000615,-50.700000000001296,-0.06537785588753663
2019-01-11 14:30:00,Core CPI (MoM)  (Dec),0.2% vs 0.2%,0.2% vs 0.2%,-68.79999999999997,1.1999999999989797,-76.40000000000092,-0.134774066797666
2019-01-11 14:30:00,CPI (YoY)  (Dec),1.9% vs 1.9%,1.9% vs 2.2%,-68.79999999999997,1.1999999999989797,-76.40000000000092,-0.134774066797666
2019-01-11 14:30:00,CPI (MoM)  (Dec),-0.1% vs -0.1%,-0.1% vs 0.0%,-68.79999999999997,1.1999999999989797,-76.40000000000092,-0.134774066797666
2019-01-15 14:30:00,PPI (MoM)  (Dec),-0.2% vs -0.1%,-0.2% vs 0.1%,-17.899999999999583,31.200000000000117,-41.700000000000074,-0.033919156414774235
2019-01-17 14:30:00,Initial Jobless Claims,213K vs 219K,213K vs 216K,1.80000000000069,15.199999999999658,-15.499999999999403,-0.004920913884031463
2019-01-24 14:30:00,Initial Jobless Claims,199K vs 219K,199K vs 212K,-34.600000000000186,44.39999999999999,-47.000000000001485,-0.07346221441125687
2019-01-30 14:15:00,ADP Nonfarm Employment Change  (Jan),213K vs 180K,213K vs 263K,51.399999999999224,72.49999999999979,-22.900000000001253,0.06866438356161081
2019-01-31 14:30:00,Initial Jobless Claims,253K vs 215K,253K vs 200K,-45.89999999999872,3.5000000000007248,-56.30000000000024,-0.0945422535210972
2019-02-01 14:30:00,Nonfarm Payrolls  (Jan),304K vs 165K,304K vs 222K,-14.199999999999768,19.500000000001183,-21.400000000000308,-0.025343811394918373
2019-02-01 14:30:00,Unemployment Rate  (Jan),4.0% vs 3.9%,4.0% vs 3.9%,-14.199999999999768,19.500000000001183,-21.400000000000308,-0.025343811394918373
2019-02-01 16:00:00,ISM Manufacturing PMI  (Jan),56.6 vs 54.2,56.6 vs 54.3,-11.799999999999589,21.900000000001363,-19.000000000000128,-0.02720763723152814
2019-02-05 16:00:00,ISM Non-Manufacturing PMI  (Jan),56.7 vs 57.2,56.7 vs 58.0,-7.999999999999119,5.999999999999339,-10.900000000000354,-0.02192066805849674
2019-02-07 14:30:00,Initial Jobless Claims,234K vs 221K,234K vs 253K,3.60000000000138,21.599999999999397,-8.699999999999264,-0.0003514938488443382
2019-02-12 16:00:00,JOLTS Job Openings  (Dec),7.335M vs 6.900M,7.335M vs 7.166M,35.89999999999982,46.30000000000134,-6.099999999999994,0.06367432150306193
2019-02-13 14:30:00,Core CPI (MoM)  (Jan),0.2% vs 0.2%,0.2% vs 0.2%,-37.499999999999204,10.900000000000354,-45.100000000000136,-0.07539543057999441
2019-02-13 14:30:00,CPI (MoM)  (Jan),0.0% vs 0.1%,0.0% vs -0.1%,-37.499999999999204,10.900000000000354,-45.100000000000136,-0.07539543057999441
2019-02-13 14:30:00,CPI (YoY)  (Jan),1.6% vs 1.5%,1.6% vs 1.9%,-37.499999999999204,10.900000000000354,-45.100000000000136,-0.07539543057999441
2019-02-14 14:30:00,PPI (MoM)  (Jan),-0.1% vs 0.1%,-0.1% vs -0.1%,9.399999999999409,24.800000000000377,-20.400000000000418,0.013708260105471621
2019-02-14 14:30:00,Retail Sales (MoM)  (Dec),-1.2% vs 0.1%,-1.2% vs 0.1%,9.399999999999409,24.800000000000377,-20.400000000000418,0.013708260105471621
2019-02-14 14:30:00,Core Retail Sales (MoM)  (Dec),-1.8% vs 0.0%,-1.8% vs 0.2%,9.399999999999409,24.800000000000377,-20.400000000000418,0.013708260105471621
2019-02-14 14:30:00,Initial Jobless Claims,239K vs 225K,239K vs 235K,9.399999999999409,24.800000000000377,-20.400000000000418,0.013708260105471621
2019-02-21 14:30:00,Initial Jobless Claims,216K vs 220K,216K vs 239K,-29.50000000000008,0.8000000000008001,-42.599999999999305,-0.060846560846552177
2019-02-28 14:30:00,GDP (QoQ)  (Q4),2.6% vs 2.6%,2.6% vs 3.4%,-26.199999999998447,8.20000000000043,-37.499999999999204,-0.05869947275921322
2019-02-28 14:30:00,Initial Jobless Claims,225K vs 221K,225K vs 217K,-26.199999999998447,8.20000000000043,-37.499999999999204,-0.05869947275921322
2019-03-01 14:30:00,Core PCE Price Index (YoY)  (Dec),1.9% vs 1.9%,1.9% vs 1.9%,-18.599999999999728,26.599999999998847,-27.500000000000302,-0.04223968565810279
2019-03-01 14:30:00,Core PCE Price Index (MoM)  (Dec),0.2% vs 0.2%,0.2% vs 0.2%,-18.599999999999728,26.599999999998847,-27.500000000000302,-0.04223968565810279
2019-03-01 16:00:00,ISM Manufacturing PMI  (Feb),54.2 vs 55.5,54.2 vs 56.6,-43.799999999998285,0.0,-52.69999999999886,-0.10525059665862703
2019-03-05 16:00:00,ISM Non-Manufacturing PMI  (Feb),59.7 vs 57.3,59.7 vs 56.7,-14.699999999998603,6.300000000001305,-24.800000000000377,-0.04425887265132709
2019-03-06 14:15:00,ADP Nonfarm Employment Change  (Feb),183K vs 189K,183K vs 300K,-1.2999999999996348,15.300000000000313,-23.699999999999832,-0.004452054794500286
2019-03-07 14:30:00,Initial Jobless Claims,223K vs 225K,223K vs 226K,-72.49999999999979,0.700000000000145,-87.8000000000001,-0.13391915641477767
2019-03-08 14:30:00,Nonfarm Payrolls  (Feb),20K vs 181K,20K vs 311K,-8.900000000000574,6.099999999999994,-25.400000000002088,-0.02809430255400216
2019-03-08 14:30:00,Unemployment Rate  (Feb),3.8% vs 3.9%,3.8% vs 4.0%,-8.900000000000574,6.099999999999994,-25.400000000002088,-0.02809430255400216
2019-03-11 14:30:00,Retail Sales (MoM)  (Jan),0.2% vs 0.0%,0.2% vs -1.6%,9.699999999999154,20.400000000000418,-31.70000000000117,0.006502636203889521
2019-03-11 14:30:00,Core Retail Sales (MoM)  (Jan),0.9% vs 0.4%,0.9% vs -2.1%,9.699999999999154,20.400000000000418,-31.70000000000117,0.006502636203889521
2019-03-12 14:30:00,Core CPI (MoM)  (Feb),0.1% vs 0.2%,0.1% vs 0.2%,11.900000000000244,27.399999999999647,-10.499999999999954,0.0007029876977433096
2019-03-12 14:30:00,CPI (MoM)  (Feb),0.2% vs 0.2%,0.2% vs 0.0%,11.900000000000244,27.399999999999647,-10.499999999999954,0.0007029876977433096
2019-03-12 14:30:00,CPI (YoY)  (Feb),1.5% vs 1.6%,1.5% vs 1.6%,11.900000000000244,27.399999999999647,-10.499999999999954,0.0007029876977433096
2019-03-13 14:30:00,PPI (MoM)  (Feb),0.1% vs 0.2%,0.1% vs -0.1%,38.7000000000004,39.80000000000095,-2.4000000000001798,0.05342706502636084
2019-03-14 14:30:00,Initial Jobless Claims,229K vs 225K,229K vs 223K,7.0000000000014495,10.799999999999699,-4.3999999999999595,0.005272407732867997
2019-03-15 16:00:00,JOLTS Job Openings  (Jan),7.581M vs 7.310M,7.581M vs 7.479M,-11.299999999998533,5.5000000000005045,-20.999999999999908,-0.05515320334262097
2019-03-21 14:30:00,Initial Jobless Claims,221K vs 226K,221K vs 230K,-13.900000000000023,5.00000000000167,-47.699999999999406,-0.025659050966588867
2019-03-28 14:30:00,GDP (QoQ)  (Q4),2.2% vs 2.4%,2.2% vs 2.6%,2.300000000001745,12.800000000001699,-12.299999999998423,-0.006151142355080304
2019-03-28 14:30:00,Initial Jobless Claims,211K vs 220K,211K vs 216K,2.300000000001745,12.800000000001699,-12.299999999998423,-0.006151142355080304
2019-03-29 14:30:00,Core PCE Price Index (MoM)  (Jan),0.1% vs 0.2%,0.1% vs 0.2%,-15.699999999998493,8.00000000000134,-20.499999999998852,-0.039198218262805874
